,Hayes,Helheim,Jakobshavn,Kangerlussuaq,Kangiata-Nunaata,Kong-Oscar,Rink-Isbrae,Upernavik-NE
1972,0,0,1,0,0,0,0,0
1973,0,0,0,0,0,1,0,0
1974,1,0,0,0,0,1,0,0
1975,1,0,1,0,0,3,0,0
1976,0,0,1,0,0,3,0,2
1977,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0
1979,1,0,0,0,2,1,0,0
1980,1,0,0,0,0,2,0,0
1981,1,0,0,0,0,1,0,0
1982,0,0,0,0,0,1,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,2,0,0,1,0,1
1985,11,6,12,14,0,5,16,9
1986,5,13,3,11,0,0,6,9
1987,13,9,8,12,4,6,10,13
1988,12,10,8,13,0,2,10,8
1989,9,4,9,6,3,3,18,9
1990,13,7,9,5,0,3,11,5
1991,14,6,5,9,0,7,9,14
1992,20,8,8,11,1,7,6,10
1993,17,9,10,11,4,3,9,5
1994,12,3,5,13,1,3,7,7
1995,8,9,11,15,8,4,5,5
1996,2,5,0,13,5,1,1,1
1997,9,7,5,13,1,3,3,8
1998,9,3,5,7,1,8,11,15
1999,2,2,3,5,2,1,3,3
2000,23,8,15,12,8,11,22,18
2001,19,8,12,11,7,6,17,11
2002,13,5,11,8,9,5,15,10
2003,3,2,12,8,5,5,5,7
2004,8,4,12,11,7,9,18,7
2005,9,4,5,11,8,6,22,13
2006,11,5,14,16,5,11,20,10
2007,13,3,12,14,8,10,14,7
2008,15,3,9,5,7,12,18,9
2009,14,1,20,21,6,13,18,9
2010,11,5,12,18,11,14,15,7
2011,11,2,19,13,8,7,16,5
2012,10,8,12,20,8,7,11,8
2013,23,16,22,23,15,13,16,11
2014,19,23,23,5,12,12,15,19
2015,42,12,16,4,7,29,27,21
2016,31,21,15,11,9,31,19,32
2017,30,16,17,7,10,28,20,20
2018,26,9,13,9,8,14,18,18
2019,11,9,6,4,1,5,6,9
